id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
22,2010-11-18 14:52:00,North,Affiliate,General,Premium,1.65,1.65,0.3856,200.0,1940,0.0362,4.56,0.366025404,90.0,26272.27,123.6361751
23,2011-10-03 11:34:00,North,Search,General,Premium,1.05,0.21,0.1741,209.0,6704,0.0432,4.16,-0.366025404,28.0,1247.47,330.9259248
24,2011-04-19 10:48:00,North,Email,General,Premium,17.4,1.45,0.2539,225.0,3475,0.0335,1.29,0.366025404,30.0,9159.85,160.9996299
25,2010-11-15 12:19:00,North,Search,Stationery,Premium,19.5,1.95,0.1783,658.0,20771,0.0443,4.53,0.366025404,90.0,8065.04,175.2754983
26,2010-11-15 13:39:00,North,Search,Storage,Premium,0.55,0.55,0.3233,614.0,18253,0.0803,6.0,0.366025404,14.0,2361.95,235.7975303
27,2011-11-07 08:34:00,North,Email,Seasonal,Standard,15.0,1.25,0.1452,158.0,6755,0.1115,4.81,0.366025404,21.0,513.331,145.325518
28,2010-06-08 13:37:00,North,Search,General,Premium,79.2,1.65,0.2955,35.0,454,0.0569,4.53,-1.0,60.0,36223.41,82.88777107
29,2010-12-09 13:03:00,North,Affiliate,Storage,Premium,1.95,1.95,0.1311,450.0,12383,0.0435,5.49,1.0,14.0,1899.54,117.0977006
30,2011-10-30 16:15:00,North,Influencer,General,Premium,3.3,1.65,0.0985,405.0,19542,0.1563,4.22,-0.366025404,14.0,334.39,174.1507484
31,2010-07-13 14:10:00,North,Email,General,Premium,17.0,4.25,0.6,335.0,8065,0.1117,1.25,-1.366025404,28.0,7998.73,90.86732876
32,2010-07-30 12:42:00,North,Affiliate,General,Premium,11.9,5.95,0.5303,66.0,1107,0.1014,5.34,-1.366025404,7.0,127.35,16.88263806
33,2011-02-15 10:49:00,North,Search,General,Premium,2.55,0.85,0.1297,99.0,2444,0.0926,4.49,1.366025404,60.0,1358.52,166.3094206
34,2011-11-17 09:25:00,Central,Social Media,Stationery,Premium,24.75,4.95,0.2262,254.0,4183,0.0126,3.59,0.366025404,30.0,994.0,107.669746
35,2011-10-28 16:10:00,North,Social Media,Stationery,Premium,1.26,0.42,0.2901,89.0,1514,0.0435,2.34,-0.366025404,60.0,1478.41,210.8282218
36,2011-06-24 16:21:00,North,Social Media,Storage,Premium,13.2,0.55,0.5009,178.0,2525,0.0042,2.49,-1.0,7.0,8784.96,160.5725468
37,2010-11-15 09:14:00,North,Affiliate,Kitchen,Premium,15.3,252.2917585,0.1021,98.0,4243,0.1163,6.81,0.366025404,21.0,1433.07,79.09431328
38,2011-10-21 13:50:00,North,Influencer,General,Premium,16.6,4.15,0.1146,115.0,1640,0.0325,4.2,-0.366025404,28.0,5252.34,110.0042492
39,2010-05-06 17:22:00,North,Social Media,Stationery,Premium,7.8,1.95,0.1732,658.0,14919,0.0233,2.28,-0.366025404,60.0,100609.5,168.1075681
40,2009-12-21 12:38:00,North,Email,General,Premium,15.0,1.25,0.2396,22.0,722,0.0138,2.99,1.0,14.0,558.15,104.2474398
41,2011-07-14 11:47:00,North,Influencer,General,Standard,25.2,2.1,0.2151,258.0,3440,0.0325,7.58,-1.366025404,60.0,97.15,75.1448055
42,2010-03-31 11:39:00,North,Social Media,Stationery,Premium,5.04,0.42,0.2429,181.0,3618,0.005,5.12,1.0,28.0,983.08,230.5984913
43,2010-05-02 12:13:00,North,Email,Stationery,Premium,10.5,0.42,0.6,201.0,6139,0.0849,5.19,-0.366025404,60.0,958.68,208.4989441
44,2011-02-02 15:48:00,North,Email,General,Premium,1.25,1.25,0.043,105.0,1692,0.0462,2.02,1.366025404,90.0,34490.4,146.5231306
45,2010-07-25 14:22:00,North,TV,General,Premium,1173.51471,0.85,0.0598,164.0,2824,0.0679,6.23,-1.366025404,14.0,3874.69,94.70512279
46,2009-12-10 20:04:00,North,Influencer,Storage,Premium,2.9,0.29,0.5042,269.0,586,0.0327,4.21,1.0,7.0,157.85,296.9179857
47,2010-05-09 14:35:00,North,Email,Kitchen,Premium,7.8,0.65,0.4924,209.0,1420,0.1161,0.9,-0.366025404,90.0,1781.44,196.4302304
48,2010-08-12 15:06:00,North,TV,General,Premium,19.8,1.65,0.2774,269.0,4368,0.1125,3.4,-1.366025404,28.0,3708.67,110.5289275
49,2010-08-29 11:31:00,North,Social Media,Seasonal,Premium,3.48,0.29,0.0651,493.0,14751,0.0389,2.48,-1.366025404,90.0,660.33,365.1898908
50,2010-12-03 11:35:00,North,Search,Lighting,Premium,5.9,2.95,0.1883,40.0,654,0.0371,2.1,1.0,21.0,1108.71,106.2312002
51,2010-11-10 12:42:00,North,Affiliate,General,Premium,1.65,1.65,0.0676,440.0,6741,0.1099,4.06,0.366025404,28.0,776.91,152.4816855
52,2010-10-26 16:47:00,North,Social Media,Storage,Premium,17.0,4.25,0.356,143.0,5661,0.0221,7.59,-0.366025404,21.0,7396.02,78.9753735
53,2011-11-21 12:59:00,North,Social Media,General,Budget,12.75,4.25,0.3472,386.0,10060,0.0668,5.55,0.366025404,60.0,52.35,124.123719
54,2011-01-23 12:41:00,North,Affiliate,General,Premium,4.95,4.95,0.1651,717.0,11561,0.0137,2.95,1.366025404,30.0,1632.47,90.01188508
55,2010-11-25 12:25:00,North,Search,Seasonal,Premium,15.0,1.25,0.204,271.0,3145,0.0057,3.16,0.366025404,21.0,3247.8,155.4837446
56,2011-11-22 11:18:00,North,Affiliate,General,Standard,0.65,0.65,0.0062,169.0,1819,0.0143,1.85,0.366025404,28.0,222.3,179.0156744
57,2010-09-21 13:40:00,North,Social Media,Stationery,Premium,11.9,2.95,0.4291,269.0,13481,0.1058,5.89,-1.0,30.0,1264.05,101.8317963
58,2009-12-16 10:56:00,North,Email,Stationery,Premium,10.2,0.85,0.0692,269.0,11575,0.0435,5.19,1.0,7.0,1781.44,159.5924253
59,2011-08-09 12:58:00,North,Email,General,Premium,3.3,1.65,0.0192,426.0,6235,0.0077,1.44,-1.366025404,90.0,49498.6,143.7603591
60,2010-09-07 14:31:00,North,Email,Storage,Premium,15.9,7.95,0.2198,426.0,11175,0.0657,3.87,-1.0,14.0,348.94,61.0736557
61,2010-02-25 12:16:00,North,Email,Storage,Premium,3.75,1.25,0.2492,428.0,9533,0.0376,6.79,1.366025404,21.0,4197.01,129.7671337
62,2011-12-08 13:27:00,North,Search,Stationery,Premium,5.04,0.42,0.0745,125.0,1879,0.0491,9.02,1.0,21.0,3479.76,213.6593628
63,2011-11-15 11:37:00,North,Search,Storage,Premium,2.08,2.08,0.2066,269.0,13498,0.0258,1.02,0.366025404,30.0,1540.77,146.7011059
64,2010-05-09 12:03:00,North,Influencer,General,Standard,22.5,3.75,0.0234,426.0,4731,0.0435,3.02,-0.366025404,28.0,447.56,145.8940524
65,2011-04-15 09:27:00,North,Social Media,General,Premium,29.7,4.95,0.2724,7.0,165,0.0104,5.54,0.366025404,30.0,9674.75,80.2499856
66,2010-11-24 15:34:00,North,TV,Storage,Premium,49.5,1.65,0.3259,585.0,9677,0.104,1.52,0.366025404,90.0,223.4,168.0332981
67,2010-12-06 12:06:00,North,TV,General,Premium,4.2,2.1,0.1885,319.0,1720,0.0943,0.93,1.0,60.0,2479.41,151.1098722
68,2010-02-17 08:47:00,North,Email,Storage,Premium,12.6,2.1,0.063,170.0,2579,0.1216,0.32,1.366025404,14.0,649.32,164.0154486
69,2011-08-04 14:33:00,North,Search,Storage,Premium,58.5,1.95,0.393,423.0,6538,0.0723,2.42,-1.366025404,60.0,5834.84,100.6090736
70,2010-07-25 11:37:00,North,Email,Stationery,Standard,30.0,15.0,0.2818,405.0,7075,0.0037,6.42,-1.366025404,14.0,166.2,24.08912284
71,2009-12-03 16:54:00,North,Social Media,General,Premium,7.65,2.55,0.0632,601.0,17594,0.0082,4.05,1.0,28.0,238.82,152.769066
72,2010-12-05 12:53:00,North,Email,General,Premium,11.9,1.65,0.0192,269.0,8833,0.0312,2.2,1.0,30.0,21566.1,168.113937
73,2010-11-12 11:31:00,North,TV,General,Standard,2.95,2.95,0.1236,327.0,13371,0.0643,3.08,0.366025404,90.0,178.1,102.8512773
74,2011-08-26 15:44:00,North,Email,Kitchen,Premium,15.0,1.25,0.204,81.0,1735,0.0748,7.61,-1.366025404,21.0,9912.78,93.77815766
75,2010-10-07 11:46:00,North,Social Media,Stationery,Premium,10.08,0.42,0.0977,177.0,9379,0.0385,6.18,-0.366025404,21.0,1845.17,228.6913529
76,2010-10-14 11:06:00,North,TV,Kitchen,Premium,17.85,5.95,0.3718,179.0,2960,0.067,2.32,-0.366025404,7.0,3146.44,87.88831241
77,2010-11-25 13:18:00,North,Email,Storage,Premium,1487.822744,1.95,0.363,506.0,11583,0.0215,1.65,0.366025404,28.0,4323.62,192.0961402
78,2011-10-25 14:35:00,North,Email,Lighting,Standard,3.4,0.85,0.1894,74.0,899,0.0435,6.89,-0.366025404,60.0,1791.63,119.884022
79,2010-09-05 16:02:00,North,Social Media,General,Premium,6.95,6.95,0.0527,145.0,1725,0.0839,4.19,-1.0,7.0,1781.44,72.13506321
80,2010-08-08 15:53:00,North,Email,General,Standard,11.9,1.25,0.1123,35.0,-449,0.132,6.51,-1.366025404,28.0,186.4,91.2049899
81,2011-03-29 11:29:00,North,Email,General,Premium,15.0,3.75,0.4381,289.0,5861,0.0244,6.85,1.0,90.0,164.6,93.24992539
82,2010-05-20 19:29:00,North,Search,Storage,Premium,11.8,2.95,0.1708,1490.0,59054,0.0078,3.12,-0.366025404,90.0,1084.85,150.4152381
83,2010-11-15 12:43:00,North,Search,Storage,Premium,5.0,1.25,0.1571,500.0,8264,0.0479,6.81,0.366025404,14.0,1846.44,163.7579679
84,2010-04-15 16:35:00,North,Social Media,General,Premium,15.0,3.75,0.1378,360.0,5445,0.0511,0.18,0.366025404,90.0,74.76,172.4700539
85,2010-06-21 16:04:00,North,Search,General,Standard,1.25,1.25,0.1657,23.0,539,0.0124,4.61,-1.0,14.0,443.34,70.77154354
86,2011-07-22 12:09:00,North,Affiliate,General,Premium,34.56,0.72,0.2594,183.0,5215,0.0028,3.87,-1.366025404,7.0,15137.43,107.0684976
87,2011-11-07 11:41:00,North,Influencer,Stationery,Premium,3.75,1.25,0.2698,214.0,11206,0.0454,3.95,0.366025404,30.0,1781.44,159.0719332
88,2010-05-12 09:42:00,North,Email,Kitchen,Budget,10.2,0.85,0.204,328.0,4212,0.0461,3.67,-0.366025404,28.0,120.0,187.5418634
89,2010-07-01 08:57:00,North,Email,General,Premium,22.5,3.75,0.3085,160.0,3857,0.1141,1.33,-1.366025404,28.0,69340.38,106.7411724
90,2010-02-12 15:24:00,North,Search,Seasonal,Premium,3.9,1.95,0.0303,276.0,6508,0.0497,8.34,1.366025404,14.0,674.32,121.807435
91,2010-12-06 13:13:00,North,Social Media,General,Premium,29.7,4.95,0.1901,269.0,810,0.0224,3.79,1.0,7.0,4030.77,116.3761953
92,2011-06-05 12:51:00,Central,Social Media,Stationery,Standard,40.5,6.75,0.1211,183.0,3066,0.128,5.07,-1.0,28.0,517.55,71.75392405
93,2011-09-28 14:48:00,North,TV,General,Premium,25.2,2.1,0.0332,521.0,8420,0.0355,7.88,-1.0,60.0,5631.04,105.9184836
94,2010-08-19 12:23:00,North,Social Media,Seasonal,Premium,60.0,1.25,0.568,280.0,5277,0.0023,1.32,-1.366025404,60.0,1031.64,113.6751072
95,2011-12-06 14:23:00,North,Search,General,Premium,11.9,1.25,0.0201,170.0,4138,0.008,6.75,1.0,30.0,69806.44,149.4938778
96,2011-11-24 10:07:00,North,TV,Seasonal,Premium,19.8,1.65,0.1365,269.0,7215,0.0384,4.84,0.366025404,28.0,4803.19,116.7067064
97,2010-11-22 11:37:00,North,Email,General,Premium,19.9,9.95,0.07,201.0,2708,0.02,1.46,0.366025404,90.0,18232.78,114.8893932
98,2010-12-06 13:53:00,North,Social Media,General,Premium,1.65,0.55,0.0505,443.0,3948,0.1376,4.7,1.0,14.0,7326.07,289.5812228
99,2011-07-07 12:56:00,North,Email,Storage,Standard,10.0,1.25,0.2954,568.0,7583,0.1195,3.53,-1.366025404,28.0,13.95,136.8958719
100,2010-06-01 09:02:00,North,Search,Storage,Premium,19.9,9.95,0.4356,346.0,6926,0.0341,5.72,-1.0,30.0,1125.9,43.86334498
101,2011-02-01 13:26:00,North,Search,General,Premium,70.8,2.95,0.1953,122.0,5577,0.2216,4.73,1.366025404,90.0,31157.501,222.5569802
102,2010-05-24 11:39:00,North,Search,Storage,Premium,2.75,0.55,0.0935,528.0,9122,0.137,3.04,-0.366025404,60.0,2821.5,299.6649793
103,2011-04-01 14:58:00,North,TV,General,Standard,8.5,8.5,0.1817,265.0,4137,0.0703,2.89,0.366025404,21.0,2427.01,95.14830953
104,2011-05-04 13:17:00,North,Influencer,Stationery,Premium,15.9,7.95,0.2041,281.0,8886,0.0197,1.4,-0.366025404,60.0,4064.65,124.6440018
105,2011-12-07 00:00:00,North,Email,Storage,Premium,41.6,2.08,0.1084,230.0,5558,0.068,7.22,1.0,7.0,5632.14,136.0898496
106,2011-06-02 17:41:00,North,Search,General,Premium,0.95,0.95,0.1811,800.0,13996,0.0483,4.56,-1.0,7.0,9029.63,181.1193342
107,2011-11-09 13:54:00,North,Email,General,Premium,25.2,2.1,0.3408,438.0,16145,0.0744,2.35,0.366025404,90.0,3988.11,138.271809
108,2010-12-19 14:03:00,North,Email,Seasonal,Premium,2.5,1.25,0.0984,280.0,9759,0.0874,8.31,1.0,28.0,531.26,146.6169118
109,2011-11-30 14:33:00,North,Social Media,Seasonal,Premium,3.3,1.65,0.0596,886.0,14238,0.0164,2.49,0.366025404,30.0,1220.11,180.1449156
110,2010-07-28 17:04:00,North,Email,Kitchen,Premium,15.3,2.55,0.314,266.0,7949,0.0022,5.04,-1.366025404,60.0,1157.77,62.28533295
111,2010-06-27 12:01:00,North,Search,General,Premium,1.65,1.65,0.2265,90.0,816,0.0069,3.23,-1.0,28.0,2516.49,96.19164379
112,2010-03-15 16:02:00,North,Social Media,Seasonal,Premium,35.7,5.95,0.3967,661.0,17572,0.08,2.05,1.0,28.0,490.93,149.9227643
113,2009-12-02 12:06:00,North,Influencer,Kitchen,Standard,6.75,6.75,0.5384,19.0,470,0.0232,5.45,1.0,7.0,360.79,55.99707122
114,2011-06-21 09:18:00,North,TV,General,Premium,3.48,0.29,0.0898,319.0,7303,0.0435,3.43,-1.0,30.0,33884.85,246.9671054
115,2011-02-06 14:56:00,North,Search,Storage,Budget,19.5,1.95,0.3682,601.0,11723,0.006,4.55,1.366025404,14.0,114.5,125.0398427
116,2010-12-01 16:58:00,North,Affiliate,General,Premium,3.95,3.95,0.1467,216.0,4023,0.0661,2.05,1.0,28.0,18446.75,110.7158829
117,2011-04-14 12:00:00,North,Search,Storage,Premium,19.8,4.95,0.2825,172.0,6412,0.0435,2.78,0.366025404,30.0,6196.69,100.4443501
118,2011-07-20 13:53:00,North,Search,Storage,Standard,2.08,2.08,0.4269,978.0,12541,0.1476,5.9,-1.366025404,60.0,13.36,118.6679503
119,2010-06-28 12:04:00,North,Search,Storage,Premium,19.5,1.95,0.0258,506.0,17588,0.097,3.87,-1.0,90.0,1193.38,168.6263823
120,2011-10-13 11:57:00,North,Affiliate,General,Premium,4.68,0.39,0.0636,161.0,1552,0.0263,4.47,-0.366025404,7.0,2238.83,198.1932431
121,2011-11-01 12:00:00,North,Search,Storage,Premium,1127.078262,10.95,0.2338,186.0,1898,0.0561,4.09,0.366025404,28.0,107996.14,151.3980575
122,2011-03-27 15:46:00,North,Search,Storage,Premium,2.95,2.95,0.114,701.0,62096,0.0488,3.21,1.0,21.0,1753.8,138.8524136
123,2011-01-14 10:20:00,North,Affiliate,General,Premium,20.0,1.25,0.042,310.0,9639,0.1048,6.25,1.366025404,90.0,12424.62,183.2379358
124,2011-05-08 11:41:00,North,Search,Seasonal,Premium,5.1,0.85,0.1844,384.0,5495,0.1023,1.85,-0.366025404,7.0,2905.9,214.8764931
125,2011-07-14 13:00:00,North,Social Media,General,Premium,0.58,0.29,0.1797,222.0,5016,0.061,6.17,-1.366025404,7.0,1533.24,267.3907247
126,2010-04-28 09:15:00,North,Affiliate,Seasonal,Premium,10.2,0.85,0.2257,222.0,7324,0.0519,6.24,0.366025404,28.0,10209.04,141.3460011
127,2011-05-09 13:03:00,North,TV,General,Premium,8.3,4.15,0.6,204.0,3462,0.0119,3.87,-0.366025404,14.0,16621.85,52.2202824
128,2011-02-14 14:14:00,North,TV,General,Premium,1.45,1.45,0.3151,269.0,9478,0.0129,2.04,1.366025404,21.0,1942.78,106.189544
129,2010-03-28 11:38:00,North,Affiliate,Lighting,Premium,14.85,4.95,0.4857,126.0,2743,0.0462,3.46,1.0,60.0,8117.48,82.17808265
130,2010-11-30 10:56:00,North,Search,General,Premium,127.5,2.55,0.1036,263.0,1757,0.0031,7.36,0.366025404,7.0,1669.9,122.1488667
131,2009-12-03 10:28:00,North,Email,Storage,Premium,39.0,1.95,0.1378,450.0,7468,0.0423,0.64,1.0,60.0,995.08,192.1533032
132,2011-04-01 14:58:00,North,Social Media,General,Standard,1447.190676,12.75,0.021,1314.0,20968,0.0148,5.17,0.366025404,28.0,2827.94,177.6191114
133,2010-03-09 17:12:00,North,Affiliate,General,Premium,121.68,1.69,0.2501,323.0,5170,0.1023,4.85,1.0,14.0,5130.48,164.5028019
134,2010-10-12 13:54:00,North,Affiliate,Storage,Premium,8.85,2.95,0.0588,744.0,41615,0.0188,7.5,-0.366025404,21.0,335.3,95.92358971
135,2010-01-28 17:35:00,North,Affiliate,General,Premium,15.3,2.55,0.0165,9.0,96,0.004,4.18,1.366025404,7.0,1530.17,69.98711819
136,2010-12-05 13:49:00,North,Search,General,Premium,9.95,9.95,0.2822,148.0,2389,0.0324,5.7,1.0,60.0,5828.52,95.61884472
137,2011-10-24 10:27:00,North,Social Media,General,Premium,23.8,5.95,0.117,135.0,3118,0.0172,3.87,-0.366025404,60.0,3607.33,109.3878586
138,2010-10-21 18:32:00,North,Search,Storage,Premium,13.2,0.55,0.4569,269.0,11184,0.0069,4.85,-0.366025404,21.0,1781.44,188.2685282
139,2011-09-16 13:53:00,North,Social Media,General,Premium,11.9,4.15,0.2426,433.0,9777,0.0466,3.65,-1.0,21.0,6010.92,99.75853025
140,2011-09-05 17:44:00,North,Email,General,Premium,5.8,1.45,0.2248,404.0,3196,0.0835,4.5,-1.0,28.0,28795.03,153.0610555
141,2011-09-23 12:55:00,North,Email,Storage,Premium,16.5,1.65,0.2514,401.0,9024,0.0258,0.88,-1.0,7.0,9764.07,125.452768
142,2010-08-08 14:57:00,North,TV,General,Premium,11.9,2.95,0.5476,98.0,1040,0.082,8.31,-1.366025404,90.0,295.35,45.04660197
143,2010-12-02 08:52:00,North,Affiliate,General,Premium,14.85,4.95,0.0752,717.0,10758,0.0008,3.12,1.0,30.0,7676.6,119.382153
144,2010-06-06 14:17:00,North,Email,General,Premium,22.47,7.49,0.1066,357.0,17305,0.0279,3.47,-1.0,30.0,3283.8,77.57286785
145,2011-09-28 10:27:00,North,Search,General,Standard,15.8,3.95,0.159,394.0,14862,0.0389,1.02,-1.0,90.0,534.01,130.1922806
146,2010-07-27 10:26:00,North,Search,General,Premium,10.15,251.2208483,0.2505,355.0,2523,0.2242,2.09,-1.366025404,30.0,1781.44,105.0330678
147,2010-01-27 16:00:00,North,Social Media,Kitchen,Premium,11.25,3.75,0.0559,205.0,6804,0.0197,3.72,1.366025404,90.0,71.65,142.6624924
148,2010-10-06 12:42:00,North,Affiliate,General,Premium,0.95,0.19,0.0779,19.0,164,0.0268,0.77,-0.366025404,14.0,9218.35,154.2379927
149,2011-04-19 13:03:00,North,Email,General,Standard,15.6,0.65,0.0759,460.0,4878,0.1191,4.61,0.366025404,60.0,250.45,246.532519
150,2010-12-01 12:43:00,North,Social Media,Storage,Standard,4.2,2.1,0.3098,131.0,1862,0.0435,3.1,1.0,28.0,559.44,118.9734563
151,2009-12-14 11:48:00,North,Social Media,Kitchen,Premium,9.95,9.95,0.4567,45.0,891,0.1676,5.23,1.0,90.0,3015.81,132.8874055
152,2011-09-22 13:31:00,North,Search,General,Premium,24.96,2.08,0.1379,111.0,2179,0.0178,5.63,-1.0,7.0,1830.84,75.1629116
153,2011-07-18 10:49:00,North,Email,Stationery,Premium,46.8,0.65,0.204,363.0,14893,0.0216,5.88,-1.366025404,14.0,1269.31,127.3229326
154,2011-10-10 09:41:00,North,Search,Stationery,Premium,49.5,4.95,0.0955,254.0,3696,0.1397,7.48,-0.366025404,60.0,1742.48,132.3223372
155,2011-10-16 15:44:00,North,Affiliate,General,Premium,5.9,2.95,0.6,631.0,7002,0.1415,1.26,-0.366025404,28.0,1945.12,127.78148
156,2011-12-05 17:17:00,North,TV,General,Premium,4.13,4.13,0.3319,228.0,5634,0.0325,2.94,1.0,90.0,56327.08,89.44447427
157,2011-10-30 14:27:00,North,TV,General,Premium,11.9,5.95,0.6,64.0,2336,0.0045,5.44,-0.366025404,21.0,1175.98,37.83189679
158,2010-08-24 17:31:00,North,Email,General,Premium,5.8,1.45,0.414,304.0,5691,0.0234,6.48,-1.366025404,7.0,1940.62,85.38983367
159,2011-02-21 09:58:00,North,Search,Kitchen,Premium,8.94,1.49,0.0208,183.0,3562,0.0435,4.41,1.366025404,60.0,4712.11,162.6337951
160,2010-12-05 11:02:00,North,Affiliate,Seasonal,Premium,4.25,0.85,0.3105,305.0,4219,0.0332,3.52,1.0,7.0,5052.16,167.6361277
161,2011-04-10 11:48:00,North,Search,Kitchen,Premium,69.52,0.79,0.1475,33.0,445,0.0127,4.37,0.366025404,7.0,4898.85,128.8640932
162,2010-10-10 14:56:00,East,Email,Kitchen,Premium,15.6,0.65,0.0737,209.0,1878,0.0511,0.83,-0.366025404,7.0,953.97,189.7672398
163,2011-08-05 17:12:00,North,Influencer,General,Premium,5.9,2.95,0.0949,83.0,1987,0.0064,8.12,-1.366025404,60.0,277302.85,60.26458042
164,2011-04-06 16:47:00,North,Influencer,General,Premium,9.9,1.65,0.4069,115.0,3679,0.0157,2.96,0.366025404,14.0,4440.65,122.0614272
165,2011-06-08 13:35:00,North,Influencer,General,Premium,11.9,4.15,0.3034,323.0,9015,0.0064,5.29,-1.0,28.0,41955.04,70.36353944
166,2010-02-05 11:21:00,North,Email,General,Premium,17.4,1.45,0.1606,278.0,6299,0.0496,3.87,1.366025404,14.0,3596.78,147.9969869
167,2011-08-09 10:47:00,North,Search,General,Premium,17.7,2.95,0.1959,631.0,5844,0.0887,3.87,-1.366025404,28.0,4469.62,104.8652514
168,2011-07-11 15:52:00,North,Social Media,Stationery,Premium,5.04,0.42,0.0323,335.0,12401,0.0019,6.62,-1.366025404,28.0,90347.09,237.6173242
169,2011-09-12 14:39:00,North,Affiliate,Storage,Premium,15.0,1.25,0.2213,108.0,4654,0.0861,6.58,-1.0,60.0,1781.44,101.2347442
170,2011-09-26 12:58:00,North,Email,General,Standard,1555.525348,2.1,0.1425,300.0,4328,0.0287,3.87,-1.0,14.0,882.24,81.68405266
171,2011-10-25 00:00:00,North,Social Media,Seasonal,Premium,5.0,1.25,0.1021,662.0,7472,0.0372,3.87,-0.366025404,28.0,2668.08,184.4589682
172,2010-08-26 15:39:00,North,TV,General,Premium,12.75,4.25,0.2028,122.0,2049,0.0125,4.07,-1.366025404,60.0,744.27,52.88098849
173,2010-11-24 14:39:00,North,Affiliate,General,Standard,3.3,1.65,0.2901,186.0,1209,0.1229,5.03,0.366025404,21.0,809.81,128.3709131
174,2010-01-22 12:51:00,North,Social Media,General,Budget,15.0,1.25,0.2688,242.0,3806,0.0439,6.33,1.366025404,14.0,96.0,151.2415814
175,2011-02-13 12:05:00,North,Affiliate,General,Premium,1.65,1.65,0.2269,94.0,1273,0.0067,3.87,1.366025404,60.0,1479.84,91.97849427
176,2010-11-01 16:01:00,North,Affiliate,Seasonal,Premium,10.2,0.85,0.0877,269.0,2162,0.0877,3.97,0.366025404,7.0,2473.42,175.4865544
177,2011-11-17 13:58:00,North,Search,General,Standard,4.2,2.1,0.1175,79.0,1112,0.0736,3.61,0.366025404,7.0,702.57,109.4628766
